Station_ID,Lat,Long,Source_No,Agency,Contact,Data Link
0070-02-2007,39.5634,-78.6331,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0070-03-2007,39.5593,-78.6217,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0074-01-2007,39.5043,-79.1557,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0074-01-2010,39.504317,-79.15565,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0074-02-2007,39.4554,-79.2473,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0074-02-2010,39.491117,-79.176683,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0074-03-2007,39.466,-79.2266,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0075-01-2007,39.4865,-79.0836,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0075-02-2007,39.4859,-79.084,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0075-03-2007,39.5021,-79.1229,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0076-01-2007,39.5143,-79.1579,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0076-02-2007,39.5117,-79.1632,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0076-03-2007,39.5125,-79.163,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0077-01-2007,39.5232,-79.1453,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0077-01-2010,39.580683,-79.090483,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0077-02-2007,39.546,-79.1271,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0077-02-2010,39.57045,-79.100317,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0077-03-2007,39.5825,-79.0914,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0077-03-2010,39.543433,-79.139883,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0078-01-2007,39.5647,-79.2018,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0078-02-2007,39.5501,-79.1442,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0078-03-2007,39.5847,-79.1713,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0079-01-2007,39.5845,-79.0918,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0080-01-2007,39.607,-79.1008,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0080-02-2007,39.5858,-79.0917,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0080-03-2007,39.6061,-79.08,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0081-01-2007,39.615,-79.0256,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0081-02-2007,39.6414,-79.022,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0081-03-2007,39.6011,-79.0714,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0082-01-2007,39.6476,-79.0665,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0082-02-2007,39.6433,-79.0922,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0083-01-2007,39.6436,-79.0233,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0083-02-2007,39.6572,-79.0289,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0083-03-2007,39.6583,-79.037,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0084-01-2007,39.67,-78.9912,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0084-02-2007,39.6703,-78.9907,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0084-03-2007,39.6738,-78.9708,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0087-01-2006,39.5172,-79.0289,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0087-01-2008,39.4879,-79.0444,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0087-02-2006,39.5064,-79.0425,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0087-02-2008,39.5672,-79.0589,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0087-03-2006,39.5239,-79.0531,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0087-03-2008,39.5255,-79.0444,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0087-04-2006,39.4897,-79.0422,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0087-05-2006,39.5457,-79.0758,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0088-01-2006,39.5281,-79.0075,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0088-02-2006,39.5221,-79.0117,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0089-01-2006,39.5621,-78.9935,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0089-02-2006,39.5376,-79.0219,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0089-03-2006,39.5469,-79.01,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0089-04-2006,39.5421,-79.0056,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0089-05-2006,39.5517,-78.9914,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0090-01-2006,39.595,-78.9567,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0090-01-2008,39.5637,-78.9582,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0090-02-2006,39.5772,-78.9386,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0090-02-2008,39.5712,-78.9355,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0090-03-2006,39.5794,-78.9878,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0090-03-2008,39.5888,-78.9969,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0090-04-2006,39.571,-78.9697,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0090-05-2006,39.5795,-78.9672,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0092-01-2006,39.6038,-78.9459,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0092-02-2006,39.6097,-78.9597,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0092-03-2006,39.6247,-78.965,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0093-01-2006,39.639,-78.9533,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0093-02-2006,39.6489,-78.9614,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0093-03-2006,39.6261,-78.9422,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0093-04-2006,39.6272,-78.9394,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0094-01-2006,39.6386,-78.9337,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0094-01-2008,39.6384,-78.9333,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0094-02-2006,39.65,-78.9369,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0094-02-2008,39.6575,-78.9396,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0094-03-2006,39.6578,-78.94,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0094-03-2008,39.6473,-78.9231,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0099-01-2009,39.669825,-78.915609,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0099-02-2009,39.671933,-78.907467,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0100-01-2009,39.700083,-78.839235,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0100-02-2009,39.699516,-78.830296,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0100-03-2009,39.6969,-78.813217,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0106-01-2009,39.679967,-78.7166,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0106-02-2009,39.67285,-78.7239,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0106-03-2009,39.667237,-78.719158,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0107-02-2009,39.699367,-78.681433,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0129-01-2008,39.6439,-78.5624,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0129-02-2008,39.6538,-78.5664,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0130-01-2008,39.6631,-78.6115,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0130-02-2008,39.664,-78.6175,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0130-03-2008,39.6511,-78.6383,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0134-01-2009,39.655638,-78.45063,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0134-02-2009,39.651282,-78.456019,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0134-03-2009,39.603538,-78.484595,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0135-01-2009,39.65665,-78.402767,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0135-01-2010,39.639285,-78.390805,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0135-02-2009,39.654717,-78.396383,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0135-02-2010,39.640631,-78.400699,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0135-03-2009,39.64055,-78.398883,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0135-03-2010,39.65496,-78.396699,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0135-91-2010,39.639197,-78.390732,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0135-92-2010,39.640737,-78.400772,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0136-01-2009,39.6526,-78.480533,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0136-02-2009,39.661667,-78.49125,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0136-03-2009,39.638817,-78.5095,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0137-01-2009,39.695167,-78.4495,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0137-01-2010,39.694008,-78.449778,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0137-02-2009,39.686611,-78.454844,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0137-02-2010,39.686171,-78.454884,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0137-03-2010,39.665249,-78.464021,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0137-91-2009,39.695167,-78.4495,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0137-91-2010,39.693842,-78.449361,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0137-92-2009,39.686611,-78.454844,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0137-92-2010,39.686074,-78.454822,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0137-93-2010,39.665345,-78.464123,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0138-01-2009,39.653967,-78.4789,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0138-02-2009,39.6659,-78.497567,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0138-03-2009,39.667587,-78.528646,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0139-01-2006,39.6928,-78.5053,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0139-01-2009,39.67715,-78.470667,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0139-02-2006,39.6832,-78.4947,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0139-02-2009,39.6801,-78.497933,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0139-03-2006,39.6772,-78.5132,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0139-03-2009,39.684216,-78.495562,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0139-04-2006,39.6814,-78.488,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0139-05-2006,39.68,-78.4805,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0140-01-2006,39.6572,-78.4294,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0140-01-2009,39.690584,-78.427002,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0140-01-2010,39.692016,-78.425957,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
0140-02-2006,39.6919,-78.4264,ICPRB_20EB,MD DNR,"410-260-8610, customerservice@maryland.gov",http://mddnr.chesapeakebay.net/mbss/streamwaders.cfm
